Identifier,Rated,Votes,Bayesian_Score,Wilson_Score,BTL_Score,DM_Score,My_WRS
The Shawshank Redemption,4.65,2804443,4.649977063768746,4.648503937985778,5.0,4.649992066174877,5.0
The Godfather,4.6,1954174,4.59996836365739,4.598093988004791,4.946236559139784,4.599988742075316,4.825889094805263
Ramayana: The Legend of Prince Rama,4.6,12995,4.595260674587965,4.576051974486736,4.946236559139784,4.598307692307691,3.1557629495941777
The Chaos Class,4.6,42231,4.598537771102859,4.586870698027595,4.946236559139784,4.599479117340657,3.548396641805489
The Dark Knight,4.5,2786129,4.499979604863865,4.498235887114024,4.838709677419355,4.4999922832139445,4.8365743841708975
Schindler's List,4.5,1409869,4.49995969662087,4.497518506134433,4.838709677419355,4.49998475041032,4.614578063399956
The Lord of the Rings: The Return of the King,4.5,1919908,4.499970403258821,4.497874183423545,4.838709677419355,4.499988801575904,4.71521299031249
12 Angry Men,4.5,834248,4.499931889444778,4.496771941925099,4.838709677419355,4.499974228441492,4.443565703838741
The Godfather Part II,4.5,1327069,4.4999571820612925,4.497442090555415,4.838709677419355,4.499983798944143,4.594852620215791
Mirror Game,4.5,29102,4.498050751234907,4.482501148195631,4.838709677419355,4.499261346067956,3.349908829738143
Daman,4.5,13428,4.495783907107879,4.474053927913878,4.838709677419355,4.498399464006551,3.0978411210303958
Pulp Fiction,4.45,2150981,4.449974744901399,4.447905780622367,4.78494623655914,4.449990120809713,4.699448913625334
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,4.45,21794,4.447513069950558,4.42888472834017,4.78494623655914,4.449025184641497,3.2194940616708996
The Message,4.45,10134,4.4446657010997646,4.418798087293846,4.78494623655914,4.4479041325574515,2.9727212770782425
Tosun Pasa,4.45,24170,4.447757039636664,4.429965969393735,4.78494623655914,4.449120992761117,3.2528423562967324
The Chaos Class Failed the Class,4.45,24221,4.4477617527089945,4.4299874002408055,4.78494623655914,4.449122843226285,3.2535216607349953
Fight Club,4.4,2238708,4.399976851227333,4.39786830926012,4.731182795698926,4.399990619610464,4.659384857090837
The Lord of the Rings: The Fellowship of the Ring,4.4,1948130,4.3999733985052725,4.397714602268347,4.731182795698926,4.399989220459568,4.615080703320704
Inception,4.4,2473068,4.399979044873718,4.397971978174908,4.731182795698926,4.399991508540185,4.691111675777343
Forrest Gump,4.4,2182826,4.399976258614782,4.397841153233949,4.731182795698926,4.399990379465932,4.651329380726683
The Lord of the Rings: The Two Towers,4.4,1732502,4.399970087766486,4.397576310887639,4.731182795698926,4.399987878836853,4.577699830174288
"The Good, the Bad and the Ugly",4.4,790685,4.399934460343858,4.39640933706515,4.731182795698926,4.399973440918692,4.327729282637009
Jai Bhim,4.4,210792,4.399754202198803,4.393029001090968,4.731182795698926,4.399900378088873,3.906441588575537
Kill Bill: The Whole Bloody Affair,4.4,15042,4.396566094619667,4.373547651770374,4.731182795698926,4.39860437296471,3.0651678933585225
777 Charlie,4.4,36923,4.398598314986612,4.383228700096779,4.731182795698926,4.399431325823224,3.3513160760894407
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,4.4,14816,4.396513890757434,4.373342935450394,4.731182795698926,4.398583091559274,3.060344016027427
Manichithrathazhu,4.4,11698,4.3955886533878115,4.36993010773882,4.731182795698926,4.39820558831069,2.9850516014592596
#Home,4.4,14439,4.3964231831044245,4.372990671327093,4.731182795698926,4.39854610911105,3.0521309573771385
Balkan Spy,4.4,12105,4.395736363636364,4.3704503901307055,4.731182795698926,4.398265895953758,2.9959493773481656
Maratonci trce pocasni krug,4.4,16582,4.396884048821549,4.374827991520643,4.731182795698926,4.398733948272744,3.0962270306419666
Süt Kardesler,4.4,20759,4.3975095151136525,4.377544522769688,4.731182795698926,4.3989886341745335,3.167815936208757
Spider-Man: Across the Spider-Verse,4.35,270500,4.349817688042875,4.343636862868824,4.677419354838709,4.349923291621227,3.9406227740462914
Interstellar,4.35,1995139,4.3499752782819066,4.347663136224769,4.677419354838709,4.349989599748188,4.570148522962518
Goodfellas,4.35,1217230,4.3499594797417185,4.347006913937938,4.677419354838709,4.3499829531684515,4.4144723776463035
The Matrix,4.35,1994075,4.349975265091205,4.347662511904453,4.677419354838709,4.349989594198829,4.569980464652072
One Flew Over the Cuckoo's Nest,4.35,1045202,4.349952810901103,4.346769479556318,4.677419354838709,4.349980147473179,4.366469397293082
Star Wars: Episode V - The Empire Strikes Back,4.35,1344203,4.3499633071304284,4.347152051848868,4.677419354838709,4.349984563400902,4.445732455596256
Toma,4.35,11742,4.345817121777476,4.318978997244253,4.677419354838709,4.3482335915552905,2.952313232852358
Rocketry: The Nambi Effect,4.35,55620,4.349113984192563,4.335897449809053,4.677419354838709,4.349626966292134,3.4423075727607797
The Legend of Maula Jatt,4.35,10257,4.345214465896962,4.316763869751238,4.677419354838709,4.347977977002533,2.909719002998181
Soorarai Pottru,4.35,121017,4.349592585097508,4.340467225679172,4.677419354838709,4.34982854357059,3.687218644156196
Who's Singin' Over There?,4.35,16210,4.346966512915129,4.323674973777514,4.677419354838709,4.348720320690719,3.0538948211895662
Pariyerum Perumal,4.35,17298,4.34715676158635,4.324529900491695,4.677419354838709,4.348800785990868,3.074359882520767
"Saban, Son of Saban",4.35,18413,4.347328467746303,4.325325385767453,4.677419354838709,4.348873384732326,3.0940385465477993
Peranbu,4.35,15487,4.34682535238463,4.323057126016042,4.677419354838709,4.3486605990188485,3.039520942713532
